user_id;variant;converted;session_duration_sec;device;traffic_source
U-0001;A;0;130;Mobile;Paid
U-0002;B;0;209;Mobile;Organic
U-0003;A;0;245;Mobile;Referral
U-0004;A;0;124;Web;Paid
U-0005;A;0;191;Mobile;Organic
U-0006;B;0;38;Mobile;Paid
U-0007;B;0;81;Mobile;Organic
U-0008;B;0;273;Mobile;Paid
U-0009;A;0;35;Mobile;Organic
U-0010;A;0;179;Mobile;Organic
U-0011;B;0;218;Mobile;Paid
U-0012;A;0;145;Mobile;Paid
U-0013;B;0;191;Web;Organic
U-0014;A;0;267;Mobile;Paid
U-0015;B;0;84;Web;Referral
U-0016;B;0;62;Web;Paid
U-0017;A;0;261;Mobile;Paid
U-0018;B;0;175;Mobile;Organic
U-0019;B;0;145;Mobile;Paid
U-0020;B;0;235;Web;Referral
U-0021;B;0;20;Mobile;Paid
U-0022;A;0;112;Web;Paid
U-0023;A;1;216;Mobile;Paid
U-0024;A;0;163;Web;Paid
U-0025;A;0;135;Mobile;Referral
U-0026;B;1;278;Web;Paid
U-0027;B;0;67;Web;Paid
U-0028;B;0;222;Web;Paid
U-0029;B;0;115;Web;Referral
U-0030;B;0;267;Mobile;Paid
U-0031;A;0;67;Mobile;Organic
U-0032;B;0;102;Web;Paid
U-0033;B;0;246;Mobile;Paid
U-0034;A;0;46;Web;Paid
U-0035;A;0;228;Mobile;Referral
U-0036;A;0;163;Mobile;Paid
U-0037;B;1;261;Mobile;Referral
U-0038;B;0;55;Web;Paid
U-0039;B;0;39;Mobile;Referral
U-0040;B;0;271;Mobile;Referral
U-0041;A;0;119;Web;Organic
U-0042;A;0;252;Mobile;Referral
U-0043;A;0;71;Mobile;Paid
U-0044;A;0;100;Web;Paid
U-0045;A;0;177;Web;Paid
U-0046;B;0;195;Web;Paid
U-0047;B;0;70;Mobile;Referral
U-0048;B;0;287;Mobile;Organic
U-0049;A;0;185;Mobile;Organic
U-0050;B;0;222;Web;Paid
U-0051;B;0;74;Mobile;Paid
U-0052;B;0;230;Web;Referral
U-0053;A;0;141;Web;Organic
U-0054;A;0;273;Web;Paid
U-0055;B;0;117;Mobile;Referral
U-0056;B;0;70;Mobile;Referral
U-0057;A;0;36;Mobile;Paid
U-0058;B;1;108;Web;Paid
U-0059;A;0;96;Web;Organic
U-0060;A;0;231;Mobile;Paid
U-0061;B;0;228;Mobile;Paid
U-0062;B;0;265;Web;Paid
U-0063;A;0;106;Mobile;Paid
U-0064;B;0;34;Mobile;Organic
U-0065;A;0;27;Mobile;Organic
U-0066;A;1;205;Mobile;Paid
U-0067;B;0;299;Mobile;Organic
U-0068;B;0;210;Web;Organic
U-0069;A;0;246;Web;Referral
U-0070;B;0;255;Mobile;Organic
U-0071;A;1;158;Web;Paid
U-0072;A;0;83;Mobile;Referral
U-0073;A;0;49;Mobile;Paid
U-0074;A;0;89;Mobile;Organic
U-0075;A;0;173;Mobile;Referral
U-0076;B;0;134;Mobile;Organic
U-0077;A;0;121;Mobile;Organic
U-0078;B;0;214;Web;Paid
U-0079;A;0;45;Mobile;Organic
U-0080;A;0;68;Mobile;Paid
U-0081;B;0;142;Web;Paid
U-0082;A;1;248;Mobile;Paid
U-0083;B;0;81;Mobile;Paid
U-0084;A;0;226;Mobile;Paid
U-0085;B;1;62;Web;Organic
U-0086;A;0;288;Mobile;Organic
U-0087;A;0;197;Web;Referral
U-0088;A;0;215;Mobile;Paid
U-0089;A;0;270;Mobile;Paid
U-0090;A;0;268;Mobile;Referral
U-0091;B;1;37;Mobile;Paid
U-0092;A;1;33;Mobile;Paid
U-0093;B;0;197;Mobile;Organic
U-0094;A;0;290;Mobile;Paid
U-0095;B;0;149;Web;Paid
U-0096;A;0;260;Web;Organic
U-0097;B;0;152;Web;Referral
U-0098;B;0;34;Mobile;Referral
U-0099;A;0;272;Web;Referral
U-0100;B;0;161;Web;Paid
U-0101;A;0;116;Web;Organic
U-0102;B;0;82;Mobile;Paid
